Season,Name,Tm,PA,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2023,"Danny Jansen","TOR",108,0,0,0,1,0.129629629,0.157407407,0,0,0.41666667,0.25925926,0.32407407,0.21296296,0.44444444,0.34259259,16535
2023,"Ozzie Albies","ATL",211,0,0,0,1,0.06635071,0.156398104,0,0,0.32701422,0.42180095,0.25118483,0.11848341,0.44549763,0.43601896,16556
2023,"Connor Joe","PIT",124,0,0,0,1,0.14516129,0.088709677,0,0,0.25,0.39516129,0.35483871,0.27419355,0.35483871,0.37096774,16572
2023,"Yandy Diaz","TBR",124,0,0,0,1,0.056451612,0.161290322,0,0,0.18548387,0.34677419,0.46774194,0.12096774,0.4516129,0.42741935,16578
2023,"Jonah Heim","TEX",155,0,0,0,1,0.09032258,0.116129032,0,0,0.30967742,0.3483871,0.34193548,0.19354839,0.43225806,0.37419355,16930
2023,"Lane Thomas","WSN",171,0,0,0,1,0.093567251,0.157894736,0,0,0.36842105,0.31578947,0.31578947,0.18128655,0.40935673,0.40935673,16939
2023,"Gleyber Torres","NYY",199,0,0,0,1,0.090452261,0.115577889,0,0,0.19095477,0.38693467,0.42211055,0.13065327,0.50251256,0.36683417,16997
2023,"Edmundo Sosa","PHI",77,0,0,0,1,0.116883116,0.116883116,0,0,0.35064935,0.37662338,0.27272727,0.28571429,0.36363636,0.35064935,17022
2023,"Alex Verdugo","BOS",155,0,0,0,1,0.064516129,0.083870967,0,0,0.21290323,0.39354839,0.39354839,0.16774194,0.48387097,0.3483871,17027
2023,"Ramon Laureano","2 Tms",89,0,0,0,1,0.11235955,0.101123595,0,0,0.23595506,0.37078652,0.39325843,0.17977528,0.48314607,0.33707865,17128
2023,"Yoan Moncada","CHW",72,0,0,0,1,0.055555555,0.152777777,0,0,0.26388889,0.31944444,0.41666667,0.18055556,0.40277778,0.41666667,17232
2023,"Jorge Mateo","BAL",89,0,0,0,1,0.101123595,0.078651685,0,0,0.23595506,0.35955056,0.40449438,0.19101124,0.48314607,0.3258427,17273
2023,"Willi Castro","MIN",105,0,0,0,1,0.104761904,0.085714285,0,0,0.31428571,0.34285714,0.34285714,0.2,0.48571429,0.31428571,17338
2023,"Rafael Devers","BOS",179,0,0,0,1,0.100558659,0.178770949,0,0,0.30167598,0.35195531,0.34636872,0.17318436,0.4301676,0.39664804,17350
2023,"Jose Siri","TBR",94,0,0,0,1,0.031914893,0.255319148,0,0,0.39361702,0.36170213,0.24468085,0.09574468,0.4893617,0.41489362,17452
2023,"Eloy Jimenez","CHW",113,0,0,0,1,0.14159292,0.159292035,0,0,0.21238938,0.34513274,0.44247788,0.25663717,0.37168142,0.37168142,17484
2023,"Taylor Ward","LAA",120,0,0,0,1,0.066666666,0.108333333,0,0,0.24166667,0.375,0.38333333,0.125,0.49166667,0.38333333,17548
2023,"Myles Straw","CLE",112,0,0,0,1,0.080357142,0.008928571,0,0,0.0625,0.375,0.5625,0.22321429,0.625,0.15178571,17620
2023,"Alex Bregman","HOU",247,0,0,0,1,0.121457489,0.101214574,0,0,0.26315789,0.4048583,0.33198381,0.21052632,0.40080972,0.38866397,17678
2023,"Kevin Newman","CIN",61,0,0,0,1,0.081967213,0.049180327,0,0,0.14754098,0.42622951,0.42622951,0.14754098,0.57377049,0.27868852,17696
2023,"Andrew Benintendi","CHW",164,0,0,0,1,0.073170731,0.030487804,0,0,0.09756098,0.42682927,0.47560976,0.17682927,0.59146341,0.23170732,17901
2023,"Ian Happ","CHC",160,0,0,0,1,0.08125,0.125,0,0,0.175,0.39375,0.43125,0.1625,0.5,0.3375,17919
2023,"Cedric Mullins","BAL",148,0,0,0,1,0.175675675,0.101351351,0,0,0.36486486,0.38513514,0.25,0.25,0.51351351,0.23648649,17929
2023,"Ty France","SEA",164,0,0,0,1,0.115853658,0.073170731,0,0,0.29268293,0.41463415,0.29268293,0.2195122,0.52439024,0.25609756,17982
2023,"Tyler Stephenson","CIN",95,0,0,0,1,0.042105263,0.126315789,0,0,0.2,0.33684211,0.46315789,0.08421053,0.46315789,0.45263158,17988
2023,"Paul DeJong","3 Tms",104,0,0,0,1,0.153846153,0.134615384,0,0,0.29807692,0.23076923,0.47115385,0.27884615,0.41346154,0.30769231,18015
2023,"Harrison Bader","2 Tms",123,0,0,0,1,0.154471544,0.056910569,0,0,0.31707317,0.37398374,0.30894309,0.26829268,0.44715447,0.28455285,18030
2023,"Jake Cronenworth","SDP",146,0,0,0,1,0.08219178,0.06849315,0,0,0.25342466,0.36986301,0.37671233,0.16438356,0.52739726,0.30821918,18036
2023,"LaMonte Wade Jr.","SFG",138,0,0,0,1,0.144927536,0.115942028,0,0,0.31884058,0.34057971,0.34057971,0.21167883,0.43065693,0.35766423,18126
2023,"Seth Brown","OAK",116,0,0,0,1,0.077586206,0.120689655,0,0,0.26724138,0.44827586,0.28448276,0.14655172,0.4137931,0.43965517,18171
2023,"Brian Anderson","MIL",71,0,0,0,1,0.084507042,0.126760563,0,0,0.09859155,0.42253521,0.47887324,0.1971831,0.38028169,0.42253521,18289
